"outlet_velocity-rfile"
"Iteration" "outlet_velocity"
("Iteration" "outlet_velocity")
1 28.50151198791862
2 28.42248443458871
3 28.37547720735424
4 28.40248936135001
5 28.46193226909676
6 28.52834076327639
7 28.58876022527518
8 28.63941852114305
9 28.67498179881203
10 28.69747530754708
11 28.72221398391098
12 28.74967232861698
13 28.7807401724497
14 28.81629806715885
15 28.85408732883217
16 28.89125351322522
17 28.9252568704712
18 28.95426909215717
19 28.9775457962852
20 28.99521480523417
21 29.00556977055819
22 29.01341056349552
23 29.01751378571547
24 29.01802794060441
25 29.01610017058298
26 29.01615313272926
27 29.02341005797092
28 29.041570248838
29 29.07213527206304
30 29.11329206796629
31 29.16066334473974
32 29.20987078886031
33 29.25714786146136
34 29.2994968429785
35 29.33459931923611
36 29.36103896200714
37 29.37817537622006
38 29.38662620805069
39 29.38783955026111
40 29.38260559346775
41 29.3716910507833
42 29.35644964881594
43 29.33724632813972
44 29.31491499020216
45 29.29097893352239
46 29.26684614971708
47 29.24341172025393
48 29.22139354490311
49 29.20097360086167
50 29.18244903223931
51 29.16603502636731
52 29.15177370703397
53 29.13989327412141
54 29.13046421784719
55 29.12335801018803
56 29.11834018555475
57 29.11531901814572
58 29.11431396712451
59 29.11534064690746
60 29.11841137577447
61 29.12351228054126
62 29.13050763154694
63 29.13915431898369
64 29.14924129751426
65 29.16057987043952
66 29.17296545025331
67 29.18616465664416
68 29.19997781228329
69 29.21425543549816
70 29.22895160445647
71 29.24404026610457
72 29.25950021273704
73 29.27536694794225
74 29.29168823490415
75 29.30853318144442
76 29.32601425334271
77 29.34425711920436
78 29.36340799076871
79 29.38361519599624
80 29.40504202578095
81 29.42789564448546
82 29.45239221487113
83 29.4788203453305
84 29.50749149550591
85 29.53877954614469
86 29.5730792021165
87 29.610867306201
88 29.6527074891637
89 29.69913575361407
90 29.7507951850487
91 29.80827997979767
92 29.87224208824506
93 29.94330845897369
94 30.02208943480474
95 30.10912310304343
96 30.20484527240991
97 30.30958990582219
98 30.42349111422084
99 30.54651740063757
100 30.67831361803938
